Parameter,Variation Value,Vehicle Type,Vehicles Used,Total Cost ($)
Capacity,-50,MCV,26.02857142857143,5642.997285714286
Capacity,-50,SCV,30.928571428571427,6228.704142857143
Capacity,-20,MCV,20.485714285714284,4509.025428571429
Capacity,-20,SCV,28.357142857142858,5336.680428571429
Capacity,0,MCV,18.65714285714286,4058.8394285714294
Capacity,0,SCV,27.62857142857143,4983.150285714286
Capacity,20,MCV,17.67142857142857,3763.5367142857144
Capacity,20,SCV,26.885714285714286,4730.249285714286
Capacity,50,MCV,17.114285714285714,3465.523428571428
Capacity,50,SCV,26.242857142857144,4474.445571428571
Max Route Duration,-50,MCV,30.942857142857143,4838.6425714285715
Max Route Duration,-50,SCV,47.214285714285715,6307.221142857143
Max Route Duration,-20,MCV,21.557142857142857,4225.404
Max Route Duration,-20,SCV,32.07142857142857,5242.534571428571
Max Route Duration,0,MCV,18.65714285714286,4058.8394285714294
Max Route Duration,0,SCV,27.62857142857143,4983.150285714286
Max Route Duration,20,MCV,16.757142857142856,3943.1895714285715
Max Route Duration,20,SCV,24.67142857142857,4821.005
Max Route Duration,50,MCV,15.5,3852.5161428571428
Max Route Duration,50,SCV,21.557142857142857,4685.231142857143
Service Time,-50,MCV,14.714285714285714,3248.626142857143
Service Time,-50,SCV,19.885714285714286,3784.189
Service Time,-20,MCV,16.84285714285714,3735.146
Service Time,-20,SCV,24.557142857142857,4512.964
Service Time,0,MCV,18.65714285714286,4058.8394285714294
Service Time,0,SCV,27.62857142857143,4983.150285714286
Service Time,20,MCV,20.571428571428573,4371.467142857143
Service Time,20,SCV,30.414285714285715,5456.927285714285
Service Time,50,MCV,23.314285714285713,4821.821571428572
Service Time,50,SCV,34.48571428571429,6142.412285714286
