Parameter,Variation,MCV Load %,SCV Load %,MCV Cust/Veh,SCV Cust/Veh,MCV Route Duration,SCV Route Duration,Type A,Type B,Type C
Capacity,-50%,87.5%,85.8%,10.1,12.2,5.3,6.6,6.2,3.0,16.9
Capacity,-20%,86.5%,79.6%,12.4,13.4,6.5,7.1,6.8,3.2,10.5
Capacity,0%,86.4%,75.7%,13.4,13.7,7.0,7.3,7.5,3.7,7.5
Capacity,20%,83.6%,71.8%,14.2,14.1,7.4,7.5,8.8,3.0,5.8
Capacity,50%,81.7%,66.4%,14.6,14.4,7.6,7.6,10.9,2.6,3.7
Service Time,-50%,85.6%,78.5%,17.3,19.2,5.2,5.9,3.0,2.1,9.6
Service Time,-20%,86.0%,77.0%,15.0,15.4,6.5,6.9,5.4,2.9,8.5
Service Time,0%,86.4%,75.7%,13.4,13.7,7.0,7.3,7.5,3.7,7.5
Service Time,20%,85.7%,73.6%,12.2,12.4,7.4,7.7,10.4,3.3,6.9
Service Time,50%,84.9%,70.3%,10.7,11.0,7.8,8.1,14.4,2.8,6.1
Max Route Duration,-50%,77.6%,57.1%,8.1,8.0,4.4,4.4,24.3,2.4,4.3
Max Route Duration,-20%,84.9%,72.2%,11.6,11.8,6.1,6.3,11.7,3.2,6.6
Max Route Duration,0%,86.4%,75.7%,13.4,13.7,7.0,7.3,7.5,3.7,7.5
Max Route Duration,20%,86.4%,78.3%,15.1,15.3,7.8,8.1,5.2,3.2,8.4
Max Route Duration,50%,85.6%,79.0%,16.3,17.6,8.5,9.3,3.9,2.3,9.3
