Date,ClientID,Lat,Lon,Kg,ProductType
2024-08-13,7197233337,4.579517,-74.125364,1,Chilled
2024-08-13,7197213123,4.582579,-74.155728,49,Chilled
2024-08-13,7197231020,4.588756,-74.084255,24,Chilled
2024-08-13,7197176017,4.590261,-74.124704,6,Chilled
2024-08-13,7197222772,4.591659,-74.123153,34,Chilled
2024-08-13,7197206089,4.592358,-74.124638,5,Chilled
2024-08-13,7197230293,4.594311,-74.129816,62,Chilled
2024-08-13,7197223950,4.59655,-74.067683,15,Chilled
2024-08-13,7197234513,4.599734,-74.073266,37,Chilled
2024-08-13,7197229856,4.604354,-74.089686,2,Chilled
2024-08-13,7197222008,4.604961,-74.070699,2,Chilled
2024-08-13,7197233113,4.608159,-74.173484,132,Chilled
2024-08-13,7197210584,4.61297,-74.070421,29,Chilled
2024-08-13,7197232394,4.613935,-74.068874,31,Chilled
2024-08-13,7197232980,4.614961,-74.084087,37,Chilled
2024-08-13,7197234009,4.618196,-74.137221,13,Chilled
2024-08-13,7197220773,4.618959,-74.087335,17,Chilled
2024-08-13,7197230765,4.618982,-74.087485,3,Chilled
2024-08-13,7197232579,4.620511,-74.137372,8,Chilled
2024-08-13,7197189060,4.620752,-74.073067,11,Chilled
2024-08-13,7197226762,4.622963,-74.077488,13,Chilled
2024-08-13,7197231178,4.623695,-74.153476,6,Chilled
2024-08-13,7197206798,4.625649,-74.111042,2,Chilled
2024-08-13,7197226056,4.626358,-74.102268,108,Chilled
2024-08-13,7197209485,4.626913,-74.064733,158,Chilled
2024-08-13,7197230525,4.627007,-74.065642,60,Chilled
2024-08-13,7197230367,4.628314,-74.111845,2,Chilled
2024-08-13,7197215405,4.629047,-74.063131,5,Chilled
2024-08-13,7197211668,4.629048,-74.063132,36,Chilled
2024-08-13,7197233568,4.629078,-74.089795,59,Chilled
2024-08-13,7197216369,4.629922,-74.112146,1,Chilled
2024-08-13,7197212381,4.63089,-74.064243,14,Chilled
2024-08-13,7197212619,4.631203,-74.063707,4,Chilled
2024-08-13,7197231003,4.631316,-74.074324,6,Chilled
