Date,ClientID,Lat,Lon,Kg,ProductType
2024-07-03,C_305,4.78075,-74.193819,180,Chilled
2024-07-03,C_306,4.802935,-74.167557,3,Chilled
2024-07-03,C_307,4.781475,-74.180068,1,Chilled
2024-07-03,C_308,4.77227,-74.172072,5,Chilled
2024-07-03,C_309,4.75192,-74.191026,2,Chilled
2024-07-03,C_310,4.746009,-74.194775,26,Chilled
2024-07-03,C_311,4.74887,-74.188239,1,Chilled
2024-07-03,C_312,4.745994,-74.188848,12,Chilled
2024-07-03,C_313,4.826432,-74.10839,81,Chilled
2024-07-03,C_314,4.826432,-74.108389,6,Chilled
2024-07-03,C_315,4.744379,-74.18501,10,Chilled
2024-07-03,C_316,4.790212,-74.136718,22,Chilled
2024-07-03,C_317,4.740386,-74.182573,29,Chilled
2024-07-03,C_318,4.738554,-74.179309,6,Chilled
2024-07-03,C_319,4.74872,-74.167891,2,Chilled
2024-07-03,C_320,4.783254,-74.131086,576,Chilled
2024-07-03,C_321,4.783678,-74.129943,620,Chilled
2024-07-03,C_322,4.754514,-74.155453,38,Chilled
2024-07-03,C_323,4.791352,-74.118689,26,Chilled
2024-07-03,C_324,4.780343,-74.128695,330,Chilled
2024-07-03,C_325,4.791722,-74.116408,5,Chilled
2024-07-03,C_326,4.748427,-74.158406,302,Chilled
2024-07-03,C_327,4.75353,-74.150624,27,Chilled
2024-07-03,C_328,4.754842,-74.149057,15,Chilled
2024-07-03,C_329,4.7271,-74.175987,45,Chilled
2024-07-03,C_330,4.736297,-74.162478,110,Chilled
2024-07-03,C_331,4.743631,-74.153185,63,Chilled
2024-07-03,C_332,4.759194,-74.136442,8,Chilled
2024-07-03,C_333,4.786983,-74.107853,21,Chilled
2024-07-03,C_334,4.717663,-74.172671,24,Chilled
2024-07-03,C_335,4.808142,-74.082131,58,Chilled
2024-07-03,C_336,4.755557,-74.134021,1,Chilled
2024-07-03,C_337,4.757236,-74.129705,22,Chilled
2024-07-03,C_338,4.741919,-74.144864,4,Chilled
2024-07-03,C_339,4.741732,-74.144465,123,Chilled
2024-07-03,C_340,4.773842,-74.11092,3,Chilled
2024-07-03,C_341,4.744857,-74.137959,49,Chilled
2024-07-03,C_342,4.726217,-74.155604,58,Chilled
2024-07-03,C_343,4.75097,-74.128942,6,Chilled
2024-07-03,C_344,4.738514,-74.139053,12,Chilled
2024-07-03,C_345,4.740671,-74.135803,21,Chilled
2024-07-03,C_346,4.75787,-74.118474,5,Chilled
2024-07-03,C_347,4.739339,-74.136289,6,Chilled
2024-07-03,C_348,4.752961,-74.122454,752,Chilled
2024-07-03,C_349,4.739063,-74.135864,5,Chilled
2024-07-03,C_350,4.708975,-74.164627,5,Chilled
2024-07-03,C_351,4.736951,-74.136484,3,Chilled
2024-07-03,C_352,4.718699,-74.154212,24,Chilled
2024-07-03,C_353,4.705469,-74.166697,20,Chilled
2024-07-03,C_354,4.708843,-74.160771,5,Chilled
2024-07-03,C_355,4.704535,-74.164312,5,Chilled
2024-07-03,C_356,4.738931,-74.129552,3,Chilled
2024-07-03,C_357,4.73893,-74.129551,7,Chilled
2024-07-03,C_358,4.702867,-74.16497,37,Chilled
2024-07-03,C_359,4.702251,-74.164858,11,Chilled
2024-07-03,C_360,4.740071,-74.12709,12,Chilled
2024-07-03,C_361,4.700513,-74.165047,43,Chilled
2024-07-03,C_362,4.702453,-74.162103,4,Chilled
2024-07-03,C_363,4.716033,-74.148118,92,Chilled
2024-07-03,C_364,4.709937,-74.152061,1,Chilled
2024-07-03,C_365,4.700585,-74.16022,5,Chilled
2024-07-03,C_366,4.709146,-74.151687,5,Chilled
2024-07-03,C_367,4.735266,-74.123921,67,Chilled
2024-07-03,C_368,4.707599,-74.15142,2,Chilled
2024-07-03,C_369,4.734233,-74.122985,30,Chilled
2024-07-03,C_370,4.734832,-74.121999,15,Chilled
2024-07-03,C_371,4.699251,-74.15669,80,Chilled
2024-07-03,C_372,4.733674,-74.120402,8,Chilled
2024-07-03,C_373,4.692481,-74.159833,24,Chilled
2024-07-03,C_374,4.695893,-74.156183,7,Chilled
2024-07-03,C_375,4.748617,-74.103145,6,Chilled
2024-07-03,C_376,4.709693,-74.140236,6,Chilled
2024-07-03,C_377,4.699108,-74.149441,44,Chilled
2024-07-03,C_378,4.691122,-74.156556,8,Chilled
2024-07-03,C_379,4.692257,-74.155209,39,Chilled
2024-07-03,C_380,4.690127,-74.157238,2,Chilled
2024-07-03,C_381,4.690123,-74.157242,10,Chilled
2024-07-03,C_382,4.690266,-74.155406,236,Chilled
2024-07-03,C_383,4.690154,-74.155386,8,Chilled
2024-07-03,C_384,4.69097,-74.15385,20,Chilled
2024-07-03,C_385,4.689911,-74.154878,7,Chilled
2024-07-03,C_386,4.686237,-74.156768,40,Chilled
2024-07-03,C_387,4.688485,-74.154327,44,Chilled
2024-07-03,C_388,4.688229,-74.154375,5,Chilled
2024-07-03,C_389,4.687952,-74.154164,5,Chilled
2024-07-03,C_390,4.693919,-74.147839,5,Chilled
2024-07-03,C_391,4.693096,-74.148254,20,Chilled
2024-07-03,C_392,4.706901,-74.133634,28,Chilled
2024-07-03,C_393,4.760618,-74.080084,119,Chilled
2024-07-03,C_394,4.683531,-74.155296,1,Chilled
2024-07-03,C_395,4.692295,-74.145925,20,Chilled
2024-07-03,C_396,4.681189,-74.154834,25,Chilled
2024-07-03,C_397,4.681352,-74.154252,5,Chilled
2024-07-03,C_398,4.68502,-74.1506,11,Chilled
2024-07-03,C_399,4.684104,-74.15106,6,Chilled
2024-07-03,C_400,4.685059,-74.150061,77,Chilled
2024-07-03,C_401,4.681584,-74.153213,25,Chilled
2024-07-03,C_402,4.681965,-74.151876,13,Chilled
2024-07-03,C_403,4.748004,-74.086001,9,Chilled
2024-07-03,C_404,4.680021,-74.153567,1,Chilled
2024-07-03,C_405,4.67822,-74.152741,103,Chilled
2024-07-03,C_406,4.678461,-74.151712,16,Chilled
2024-07-03,C_407,4.702175,-74.126464,3,Chilled
2024-07-03,C_408,4.680913,-74.14589,145,Chilled
2024-07-03,C_409,4.690758,-74.135885,30,Chilled
2024-07-03,C_410,4.67351,-74.152583,5,Chilled
2024-07-03,C_411,4.676792,-74.148478,5,Chilled
2024-07-03,C_412,4.736559,-74.088249,9,Chilled
2024-07-03,C_413,4.72744,-74.09726,37,Chilled
2024-07-03,C_414,4.681367,-74.142624,23,Chilled
2024-07-03,C_415,4.757474,-74.066156,16,Chilled
2024-07-03,C_416,4.674547,-74.14826,8,Chilled
2024-07-03,C_417,4.677706,-74.144643,2,Chilled
2024-07-03,C_418,4.688035,-74.133257,27,Chilled
2024-07-03,C_419,4.682037,-74.138408,80,Chilled
2024-07-03,C_420,4.678851,-74.14063,66,Chilled
2024-07-03,C_421,4.692124,-74.126886,16,Chilled
2024-07-03,C_422,4.670117,-74.148663,6,Chilled
2024-07-03,C_423,4.666461,-74.149743,40,Chilled
2024-07-03,C_424,4.742388,-74.07388,300,Chilled
2024-07-03,C_425,4.664678,-74.150757,60,Chilled
2024-07-03,C_426,4.729787,-74.085762,31,Chilled
2024-07-03,C_427,4.72885,-74.086024,22,Chilled
2024-07-03,C_428,4.75275,-74.060075,3,Chilled
2024-07-03,C_429,4.670663,-74.141189,8,Chilled
2024-07-03,C_430,4.660661,-74.151114,11,Chilled
2024-07-03,C_431,4.666306,-74.143368,6,Chilled
2024-07-03,C_432,4.658253,-74.15081,92,Chilled
2024-07-03,C_433,4.66704,-74.141472,10,Chilled
2024-07-03,C_434,4.656644,-74.151625,1,Chilled
2024-07-03,C_435,4.667655,-74.139881,21,Chilled
2024-07-03,C_436,4.733188,-74.072543,18,Chilled
2024-07-03,C_437,4.655143,-74.149987,157,Chilled
2024-07-03,C_438,4.684763,-74.120499,4,Chilled
2024-07-03,C_439,4.729381,-74.074181,1,Chilled
2024-07-03,C_440,4.73016,-74.072559,6,Chilled
2024-07-03,C_441,4.669174,-74.133054,30,Chilled
2024-07-03,C_442,4.681845,-74.120223,2,Chilled
2024-07-03,C_443,4.659132,-74.142099,6,Chilled
2024-07-03,C_444,4.729723,-74.071797,28,Chilled
2024-07-03,C_445,4.649899,-74.149537,49,Chilled
2024-07-03,C_446,4.660004,-74.138186,15,Chilled
2024-07-03,C_447,4.661203,-74.136862,10,Chilled
2024-07-03,C_448,4.661305,-74.13623,16,Chilled
2024-07-03,C_449,4.686034,-74.110884,53,Chilled
2024-07-03,C_450,4.657815,-74.138832,16,Chilled
2024-07-03,C_451,4.657244,-74.139274,5,Chilled
2024-07-03,C_452,4.657545,-74.137348,91,Chilled
2024-07-03,C_453,4.656506,-74.136247,43,Chilled
2024-07-03,C_454,4.660732,-74.130111,28,Chilled
2024-07-03,C_455,4.652512,-74.134998,35,Chilled
2024-07-03,C_456,4.671145,-74.111237,1,Chilled
2024-07-03,C_457,4.67058,-74.110999,6,Chilled
2024-07-03,C_458,4.664062,-74.111969,8,Chilled
2024-07-03,C_459,4.639,-74.136441,3,Chilled
2024-07-03,C_460,4.65627,-74.117492,25,Chilled
2024-07-03,C_461,4.75171,-74.016566,12,Chilled
2024-07-03,C_462,4.656352,-74.109648,12,Chilled
2024-07-03,C_463,4.655854,-74.105304,144,Chilled
2024-07-03,C_464,4.63787,-74.121264,15,Chilled
2024-07-03,C_465,4.67884,-74.07723,60,Chilled
2024-07-03,C_466,4.653619,-74.10173,9,Chilled
2024-07-03,C_467,4.639646,-74.115128,16,Chilled
2024-07-03,C_468,4.652611,-74.101286,5,Chilled
2024-07-03,C_469,4.787341,-73.966401,8,Chilled
2024-07-03,C_470,4.6373,-74.115361,13,Chilled
2024-07-03,C_471,4.62215,-74.12532,141,Chilled
2024-07-03,C_472,4.623442,-74.123079,59,Chilled
2024-07-03,C_473,4.637031,-74.108211,40,Chilled
2024-07-03,C_474,4.640819,-74.104379,5,Chilled
2024-07-03,C_475,4.728282,-74.016626,25,Chilled
2024-07-03,C_476,4.698344,-74.044566,22,Chilled
2024-07-03,C_477,4.670301,-74.07108,13,Chilled
2024-07-03,C_478,4.628408,-74.107511,147,Chilled
2024-07-03,C_479,4.625613,-74.104453,30,Chilled
2024-07-03,C_480,4.640163,-74.088774,16,Chilled
2024-07-03,C_481,4.633243,-74.081892,4,Chilled
2024-07-03,C_482,4.704181,-74.0089,591,Chilled
2024-07-03,C_483,4.617209,-74.092989,12,Chilled
2024-07-03,C_484,4.617208,-74.092988,256,Chilled
2024-07-03,C_485,4.711233,-73.997941,55,Chilled
2024-07-03,C_486,4.561707,-74.142308,7,Chilled
2024-07-03,C_487,4.603749,-74.095087,7,Chilled
2024-07-03,C_488,4.609648,-74.087741,21,Chilled
2024-07-03,C_489,4.532053,-74.139282,303,Chilled
2024-07-03,C_490,4.529288,-74.141286,4,Chilled
